Level,School,Region,Regional_Wages,Program,Residents,Wages,Sample Cohort,,
Comprehensive,Buffalo State,Western New York,"28,395",Law and Public Service,0,0,0,,
Comprehensive,Buffalo State,Western New York,"28,395",Engineering,0,0,0,,
Comprehensive,Buffalo State,Western New York,"28,395",Social Services,70,40630,16,,
Comprehensive,Buffalo State,Western New York,"28,395",Hospitality,0,0,0,,
Comprehensive,Buffalo State,Western New York,"28,395",Education,69.1,54376,174,,
Comprehensive,Buffalo State,Western New York,"28,395",Computers and Math,63.3,70151,28,,
Comprehensive,Buffalo State,Western New York,"28,395",Business and Finance,69.9,48212,65,,
Comprehensive,Buffalo State,Western New York,"28,395",Protective Services,71.1,60900,54,,
Comprehensive,Buffalo State,Western New York,"28,395",Health,70.8,50195,13,,
Community,Niagara County,Western New York,"28,395",Agriculture,60.7,36100,14,,
Community,Niagara County,Western New York,"28,395",Art,64.7,26545,15,,
Community,Niagara County,Western New York,"28,395",Technical trades,76,58825,16,,
Community,Niagara County,Western New York,"28,395",Communications and Media ,64,42676,13,,
Community,Niagara County,Western New York,"28,395",Law and Public Service,0,0,0,,
Community,Niagara County,Western New York,"28,395",Engineering,0,0,0,,
Community,Niagara County,Western New York,"28,395",Social Services,77.1,27033,21,,
Community,Niagara County,Western New York,"28,395",Hospitality,0,0,0,,
Community,Niagara County,Western New York,"28,395",Education,0,0,0,,
Community,Niagara County,Western New York,"28,395",Computers and Math,71,54552,18,,
Community,Niagara County,Western New York,"28,395",Business and Finance,76,41841,82,,
Community,Niagara County,Western New York,"28,395",Protective Services,64.8,40047,41,,
Community,Niagara County,Western New York,"28,395",Health,75.3,57570,185,,
Community,Erie County,Western New York,"28,395",Agriculture,76.7,53771,0,,
Community,Erie County,Western New York,"28,395",Art,0,0,0,,
Community,Erie County,Western New York,"28,395",Technical trades,80.8,54823,52,,
Community,Erie County,Western New York,"28,395",Communications and Media,78.4,33096,22,,
Community,Erie County,Western New York,"28,395",Law and Public Service,80.9,46041,34,,
Community,Erie County,Western New York,"28,395",Engineering,0,0,0,,
Community,Erie County,Western New York,"28,395",Social Services,0,0,0,,
Community,Erie County,Western New York,"28,395",Hospitality,0,0,0,,
Community,Erie County,Western New York,"28,395",Education,0,0,0,,
Community,Erie County,Western New York,"28,395",Computers and Math,82.9,52956,23,,
Community,Erie County,Western New York,"28,395",Protective Services,75,49731,98,,
Community,Erie County,Western New York,"28,395",Business and Finance,72.6,42231,189,,
Community,Erie County,Western New York,"28,395",Health,76.7,53771,311,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Agriculture,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Art,57.7,45705,59,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Technical trades,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Communications and Media,67.1,53495,89,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Law and Public Service,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Engineering,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Social Services,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Hospitality,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Education,69.9,56306,235,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Computers and Math,69.6,80649,16,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Protective Services,0,0,0,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Business and Finance,61.6,57237,111,,
Comprehensive,SUNY Fredonia,Western New York,"28,395",Health,75.9,55988,37,,
Community,Jamestown ,Western New York,"28,395",Agriculture,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Art,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Technical trades,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Communications and Media,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Law and Public Service,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Engineering,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Social Services,63.9,32043,19,,
Community,Jamestown ,Western New York,"28,395",Hospitality,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Education,0,0,0,,
Community,Jamestown ,Western New York,"28,395",Computers and Math,65,39616,23,,
Community,Jamestown ,Western New York,"28,395",Protective Services,68.1,46030,40,,
Community,Jamestown ,Western New York,"28,395",Business and Finance,68,41948,53,,
Community,Jamestown ,Western New York,"28,395",Health,57.8,55523,93,,
Community,Alfred State,Western New York,"28,395",Agriculture,67.9,45207,17,,
Community,Alfred State,Western New York,"28,395",Art,0,0,0,,
Community,Alfred State,Western New York,"28,395",Technical trades,73.7,55152,314,,
Community,Alfred State,Western New York,"28,395",Communications and Media ,0,0,0,,
Community,Alfred State,Western New York,"28,395",Law and Public Service,0,0,0,,
Community,Alfred State,Western New York,"28,395",Engineering,0,0,0,,
Community,Alfred State,Western New York,"28,395",Social Services,85.7,34766,12,,
Community,Alfred State,Western New York,"28,395",Hospitality,0,0,0,,
Community,Alfred State,Western New York,"28,395",Education,0,0,0,,
Community,Alfred State,Western New York,"28,395",Computers and Math,71.8,73459,57,,
Community,Alfred State,Western New York,"28,395",Protective Services,0,0,0,,
Community,Alfred State,Western New York,"28,395",Business and Finance,71.4,59786,51,,
Community,Alfred State,Western New York,"28,395",Health,65,41950,88,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Agriculture,0,0,0,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Art,61.4,39449,73,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Technical trades,0,0,0,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Communications and Media,62.3,53067,137,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Law and Public Service,0,0,0,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Engineering,0,0,0,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Social Services,68.8,50246,20,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Hospitality,53.3,49589,12,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Education,77.3,61297,560,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Computers and Math,56.7,80758,36,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Business and Finance,65.7,67630,290,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Protective Services,72.3,58497,94,,
Comprehensive,SUNY Oswego,Central New York,"31,323",Health,0,0,0,,
Comprehensive,Onondaga ,Central New York,"31,323",Agriculture,0,0,0,,
Comprehensive,Onondaga ,Central New York,"31,323",Art,66.1,39368,30,,
Comprehensive,Onondaga ,Central New York,"31,323",Technical trades,72.5,52594,61,,
Comprehensive,Onondaga ,Central New York,"31,323",Communications and Media ,80,33033,20,,
Comprehensive,Onondaga ,Central New York,"31,323",Law and Public Service,0,0,0,,
Comprehensive,Onondaga ,Central New York,"31,323",Engineering,0,0,0,,
